,k,SIL,DBI,CH
0,2,0.12411417879399586,2.4482616107668984,31.228544866714483
1,3,0.10806954918570083,2.3118314398266198,26.83866088722729
2,4,0.10559336733306442,2.275150125857687,23.82426153733526
3,5,0.09188495716708178,2.2347782032961994,21.02639139591034
4,6,0.09576153957670976,2.205108158332362,19.210053741230695
5,7,0.08537168159141677,2.143010639798813,17.32230159635013
6,8,0.08578471151752116,2.1140547446802986,16.225987983173653
7,9,0.07874118521189838,2.081382883468473,15.340923293252963
8,10,0.0852775430322167,2.110343568322234,14.41529172538682
