,k,SIL,DBI,CH
0,2,0.6084256595417411,0.6836394524869736,8817.546770450603
1,3,0.5151484842050215,0.6578876918988147,12872.948556250472
2,4,0.4709402878497505,0.6830075657189403,12376.59852482156
3,5,0.4531665215687994,0.8115642382067099,12178.46309309125
4,6,0.4158671419581373,0.8510359723328961,12005.056948367694
5,7,0.42162984556208194,0.8745622354086778,11722.780940454011
6,8,0.41499330309181814,0.7917449536546742,12700.536791208506
7,9,0.3539694844936611,1.162460243503115,10051.028825085092
8,10,0.37908677376451144,1.0508203289819091,12555.39984203911
