,k,SIL,DBI,CH
0,2,0.4424697623825463,0.7839270949737348,258.3013467027761
1,3,0.4074650482251117,0.8007790024825671,285.7216232968964
2,4,0.3551997844765431,0.8564051299206638,260.6445754191456
3,5,0.3346841859706919,0.931000112235574,257.3774968156437
4,6,0.3103825078872054,1.0346733525730762,236.29802179740554
5,7,0.3129698415069381,1.0087216362052478,219.02021863334895
6,8,0.28185936375467757,1.0453164066609695,203.35800484580042
7,9,0.27082785788827857,1.1779314573847512,184.04301135118757
8,10,0.248429905232355,1.1523586463903235,179.8612466322576
