,k,SIL,DBI,CH
0,2,0.3066525554494087,1.679626509198428,1771.6897961920997
1,3,0.16543829576763236,2.0564379318322783,1537.4142228949743
2,4,0.14378385242457434,1.7074385571184552,1745.672366736961
3,5,0.14808091244410654,1.5883462397107369,1718.2986441100907
4,6,0.1481588018699068,1.4638523993445947,1703.5899364651493
5,7,0.1485884496252842,1.408785271713658,1643.9316619998544
6,8,0.1284615319722182,1.560610721955979,1507.2853397275708
7,9,0.12755401672561575,1.5309876213284885,1401.989809128808
8,10,0.12230653239247667,1.8602762155138606,1312.0723427675014
