cluster,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,0.3576630254882489,0.3244694545588289,0.11427415498915003,0.0,0.0,0.0,0.20359336496377212
1,0.13388733282632487,0.14327317245089127,0.14685314685314685,0.1462595759677988,0.14258685611470756,0.14692734321381537,0.1402125725733153
2,0.39109049466149476,0.19124645099372176,0.0,0.0,0.0,0.09253409045467269,0.32512896389011076
3,0.0,0.0,0.15170098767026016,0.31005099735330194,0.3361306565102318,0.20211735846620618,0.0
4,0.0,0.0,0.0,0.0,0.35665064102564104,0.4206530448717949,0.2226963141025641
5,0.0,0.21337711848412788,0.42577284565734347,0.36085003585852865,0.0,0.0,0.0
